Farmer Name,County,Crop Type,Crop Variety,Season,Planted Area (Acres),Yield (Kg),Market Price (KES/Kg),Revenue (KES),Cost of Production (KES),Profit (KES),Planting Date,Harvest Date,Soil Type,Irrigation Method,Fertilizer Used,Pest Control,Weather Impact,Farmer Contact,Notes
Farmer 31,Kisumu,Rice,Hybrid,Short Rains,14.37,2491.42,104,3723377.36,5548.35,3717829.01,2023-06-04,2023-08-19,N/A,Flood,UREA,Error,Severe,717901903,
Farmer 32,N/A,Error,Organic,Short Rains,19.77,4385.04,51.28,4445578.11,66182.13,4379395.98,2023-07-20,2023-04-28,Loam,Drip,None,,Mild,734073380,High yield
Farmer 33,Mombasa,Wheat,,,12.76,2973.54,21,796789.78,70448.46,726341.32,2023-08-08,2023-05-03,Peaty,None,CAN,Error,None,749349722,
Farmer 34,Meru,,Local,Short Rains,6.74,4908.93,194.65,6440226.53,24066.78,6416159.75,2023-09-29,2023-11-01,Clay,Sprinkler,DAP,,Severe,713176186,
Farmer 35,Meru,Beans,Error,Error,1.96,691.61,17.66,23939.11,45767.92,-21828.81,2023-07-25,2024-02-17,Clay,Flood,DAP,,Severe,723556182,Pest issues
Farmer 36,Eldoret,Error,Organic,Short Rains,12.53,4006.27,123.45,6197012.61,97424.01,6099588.6,2023-07-18,2023-06-28,Peaty,Flood,DAP,Chemical,Severe,791363974,High yield
Farmer 37,Mombasa,Wheat,Error,Dry Season,12.48,2038.42,194.06,4936785.8,19026.09,4917759.71,2023-10-17,2023-12-11,Clay,Flood,DAP,None,Mild,789978790,
Farmer 38,Kiambu,Maize,Organic,Short Rains,17.75,556.21,195.14,1926564.04,30160.4,1896403.64,2023-02-19,,Clay,Drip,Manure,None,Severe,714308421,High yield
Farmer 39,Eldoret,N/A,Hybrid,Dry Season,19.43,2898.98,194.71,10967465.49,56080.06,10911385.43,2023-01-07,2024-02-14,Silty,Sprinkler,None,Organic,Severe,795511909,
Farmer 40,Kisumu,Cassava,Local,N/A,17.64,3511.3,124.95,7739319.53,3865.87,7735453.66,2023-05-21,2023-11-24,Clay,Sprinkler,None,Chemical,Mild,799514287,
Farmer 41,Kisumu,Error,Hybrid,Dry Season,10.51,2386.82,170.22,4270050.1,80737.55,4189312.55,2023-06-13,2023-04-14,Sandy,None,DAP,None,Mild,782340307,High yield
Farmer 42,Nakuru,Tea,Organic,Short Rains,18.04,4727.07,110.67,9437532.86,78115.18,9359417.68,2023-02-15,2023-11-09,Silty,None,DAP,None,None,737326368,Delayed harvest
Farmer 43,,Coffee,Local,Short Rains,6.17,Error,42.11,,1921.15,,2023-11-07,2023-11-01,Clay,Drip,DAP,None,Mild,758884978,High yield
Farmer 44,Nairobi,Coffee,Local,Short Rains,1.96,4944.46,60.98,590965.81,39185.83,551779.98,2023-10-30,2024-01-17,Loam,Flood,UREA,Chemical,Mild,755667651,Pest issues
Farmer 45,Error,Potatoes,Hybrid,Dry Season,3.4,4259.34,114.59,1659464.42,60816.12,1598648.3,2023-01-28,2023-11-19,Peaty,Flood,DAP,Error,Mild,789795010,Pest issues
Farmer 46,Nakuru,Maize,Local,Dry Season,14.98,N/A,83.61,,80674.89,,2023-12-26,2023-09-08,Peaty,Sprinkler,CAN,None,Severe,735511941,
Farmer 47,Nakuru,Sorghum,Organic,Dry Season,17.61,258.3,161.78,735882.7,71245,664637.7,2023-11-05,2023-07-09,Loam,Drip,UREA,Organic,Mild,789978790,
Farmer 48,Nairobi,Tea,N/A,Dry Season,6.7,2761.09,184.54,3413861.38,29000.07,3384861.31,2023-10-03,2024-02-15,Error,Sprinkler,Manure,Organic,Severe,724366125,
Farmer 49,Mombasa,Error,Hybrid,,13.63,1520.2,84.29,1746516.28,57699.14,1688817.14,2023-11-27,2023-06-12,Loam,Flood,UREA,None,Severe,738688676,
Farmer 50,Machakos,Cassava,Local,Dry Season,13.36,3240.11,102.52,4437872.39,81451.6,4356420.79,2023-04-25,2024-01-27,Sandy,Drip,None,,Severe,737326368,High yield
Farmer 51,Nyeri,Tea,Local,Short Rains,Error,3548.31,182.38,,66449.85,,2023-10-30,2023-10-28,,Sprinkler,None,Error,None,717507864,High yield
Farmer 52,Nyeri,Rice,Hybrid,Long Rains,13.36,3067,181.38,7432067.27,74398.01,7357669.26,2023-03-10,2023-07-29,Clay,None,DAP,Organic,None,780823176,Pest issues
Farmer 53,Kiambu,Potatoes,Organic,Long Rains,3.99,3705.33,N/A,,49942.47,,2023-01-18,2023-12-18,Loam,Drip,DAP,Organic,Mild,768800797,Delayed harvest
Farmer 54,Kiambu,Tomatoes,Organic,Long Rains,8.38,4833.67,82.71,3350264.05,48178.99,3302085.06,2023-12-16,2023-07-07,Loam,Sprinkler,UREA,Organic,Mild,793016315,
Farmer 55,Eldoret,Tomatoes,Local,Long Rains,18.36,,61.19,,58013.38,,2023-04-11,2023-06-16,Clay,None,None,Chemical,Mild,713326769,High yield
Farmer 56,,N/A,Organic,Error,19.28,1840.03,134.07,4756237.61,36953.32,4719284.29,2023-12-25,2023-07-17,Clay,N/A,DAP,None,None,789864260,High yield
Farmer 57,Machakos,Cassava,Hybrid,Short Rains,17.28,2231.39,99.15,3823067.26,19668.53,3803398.73,2023-04-23,2023-11-03,Peaty,Flood,None,Chemical,None,768353204,High yield
Farmer 58,Kericho,Cassava,Hybrid,Dry Season,0.79,4233.38,16.37,54747.34,93685.31,-38937.97,2023-01-27,2023-07-21,Loam,Flood,N/A,Chemical,None,749823450,High yield
Farmer 59,Mombasa,Wheat,Local,Error,3.5,3477.32,110.92,1349965.17,24639.87,1325325.3,2023-04-08,2023-12-11,Loam,Flood,CAN,None,None,761019678,
Farmer 60,Eldoret,Maize,Local,Dry Season,12.67,4127.93,28.45,1487959.84,66095.66,1421864.18,2023-06-30,2024-01-07,Sandy,None,Manure,Chemical,Severe,780823176,Pest issues
Farmer 61,Eldoret,Beans,,Dry Season,18.9,1898.71,118.12,4238809.32,87108.86,4151700.46,2023-11-21,2023-10-13,Error,Error,CAN,Organic,Severe,760119651,
Farmer 62,Kiambu,Rice,Hybrid,Short Rains,4.36,3906.18,156.24,2660914.82,Error,,2023-06-06,2023-04-12,Peaty,Flood,None,Organic,Severe,Error,
Farmer 63,,,Organic,Long Rains,17.35,Error,140.02,,9691.71,,2023-12-18,2023-08-02,Silty,Flood,UREA,Organic,Severe,754585178,
Farmer 64,Kisumu,Tea,Organic,Long Rains,16.87,,,,95515.21,,2023-08-07,2023-04-22,Silty,None,None,None,Severe,743528453,High yield
Farmer 65,Nairobi,Coffee,Local,Short Rains,11.38,2553.22,43.99,1278157.76,,,2023-10-17,2023-06-16,Loam,Drip,CAN,Chemical,None,747308985,
Farmer 66,Kericho,N/A,Organic,Dry Season,9.78,3301.06,116.81,3771136.89,43305.06,3727831.83,2023-02-25,2024-02-17,Clay,Flood,CAN,None,Mild,734941004,
Farmer 67,Eldoret,Tea,Hybrid,Short Rains,0.53,3239.03,100.16,171943.26,56929.32,115013.94,2023-03-18,2023-04-16,Silty,Sprinkler,Manure,Organic,Mild,791734598,Pest issues
Farmer 68,Eldoret,Sorghum,Local,Long Rains,3.5,1703.96,26.54,158280.84,16592.11,141688.73,2023-04-16,2024-01-07,Loam,Flood,UREA,Error,Severe,761019678,Error
Farmer 69,N/A,N/A,Organic,Dry Season,18.49,1196.59,44.84,992082.72,30909.69,961173.03,2023-11-14,2023-06-21,Silty,,None,Chemical,Mild,739436733,
Farmer 70,Nyeri,Wheat,Local,Short Rains,19.14,831.16,139.12,2213176.94,4087.29,2209089.65,2023-06-12,2023-10-25,Peaty,Sprinkler,UREA,Chemical,None,731367172,Delayed harvest
Farmer 71,Error,Error,Organic,Short Rains,12.29,N/A,98.34,,31937.47,,2023-08-29,2023-09-17,Sandy,Drip,None,None,Mild,798447167,
Farmer 72,N/A,Potatoes,N/A,Error,5.51,513.57,153.02,433011.51,17592.44,415419.07,2023-08-18,2023-09-09,Clay,Error,Manure,None,Mild,725015458,
Farmer 73,Machakos,Potatoes,Organic,Dry Season,19.87,4296.56,135.49,11567139.97,7176.35,11559963.62,2023-04-02,2023-05-26,Silty,Drip,CAN,Organic,Error,799788677,N/A
Farmer 74,Nairobi,Beans,Organic,Long Rains,15.81,3270.66,84.12,4349772.4,54514.65,4295257.75,2023-01-09,,Clay,Sprinkler,None,None,Severe,735487660,
Farmer 75,,Maize,Organic,Error,16.44,2188.44,,,92687.56,,2023-04-16,2023-08-17,Silty,Sprinkler,DAP,None,None,754769200,High yield
Farmer 76,,Tomatoes,Organic,Dry Season,10.4,364.74,32.05,121575.14,58924.13,62651.01,2023-04-10,2023-08-17,Loam,Error,,Chemical,None,785345555,
Farmer 77,Nyeri,Potatoes,Hybrid,Error,11.8,4577.4,149.04,8050145.21,17018.48,8033126.73,2023-02-06,2024-03-19,Clay,Flood,None,Organic,None,775579548,
Farmer 78,Nakuru,Wheat,Local,Long Rains,11.43,1926.79,163.67,3604538.73,9643.57,3594895.16,2023-12-16,2023-06-07,Silty,Drip,DAP,,Severe,712823170,Pest issues
Farmer 79,Meru,Cassava,Organic,Long Rains,15.51,4533.08,70.22,4937032.73,96990.95,4840041.78,2023-10-17,2023-11-13,Clay,Drip,None,Organic,None,781971316,
Farmer 80,Nyeri,Rice,Hybrid,Long Rains,10.48,4889.87,168.75,8647735.1,75855.29,8571879.81,2023-05-29,2023-04-22,Sandy,Flood,Manure,Organic,Mild,743491314,
Farmer 81,Kericho,Cassava,Organic,Short Rains,9.87,1666.44,46.82,770084.25,36889.75,733194.5,2023-03-21,2023-07-06,Peaty,Drip,DAP,Organic,Mild,782160068,High yield
Farmer 82,Nyeri,Sorghum,Local,,2.03,3797.3,40.51,312272.1,57453.3,254818.8,2023-09-16,2023-11-30,Peaty,Drip,CAN,Chemical,None,745431319,
Farmer 83,Meru,Sorghum,Organic,Short Rains,2.76,3393.27,195.29,1828973.89,40623.32,1788350.57,2023-03-17,2023-05-26,Silty,Sprinkler,Error,,None,738427073,Pest issues
Farmer 84,Nyeri,Wheat,Organic,Long Rains,11.16,3918.97,100.42,4391939.52,5466.73,4386472.79,2023-08-08,2023-09-30,Clay,Sprinkler,CAN,None,N/A,760929647,N/A
Farmer 85,Error,Potatoes,Local,Dry Season,2.41,1399.26,52.92,178457.7,65502.14,112955.56,2023-09-22,2024-01-21,Silty,None,DAP,Chemical,None,785563727,High yield
Farmer 86,Kiambu,Beans,Local,Long Rains,3.42,768.51,170.12,447127.11,93224.01,353903.1,2023-07-19,2023-07-30,Loam,Sprinkler,CAN,Chemical,None,745575298,
Farmer 87,Kisumu,Coffee,Hybrid,Dry Season,16.08,698.06,173.29,1945146.42,82203.89,1862942.53,2023-08-04,2024-01-06,Silty,Drip,UREA,None,Mild,724282218,
Farmer 88,Machakos,Tea,Organic,Long Rains,8.17,4873.23,42.32,1684940.71,78430.07,1606510.64,2023-07-29,2023-04-15,Sandy,None,CAN,None,None,731367172,High yield
Farmer 89,Kisumu,Potatoes,Hybrid,Short Rains,18.82,1761.97,104.85,3476854.88,52180.3,3424674.58,2023-01-19,2023-06-23,Silty,None,N/A,None,Mild,797775215,
Farmer 90,Machakos,Tea,Organic,Long Rains,15.45,853.5,135.02,1780451.36,95238.12,1685213.24,2023-04-17,2023-10-24,Loam,None,CAN,None,Severe,773791320,High yield
Farmer 91,Kisumu,Potatoes,Hybrid,Long Rains,3.52,1318.4,18.57,86179.06,5480.61,80698.45,2023-04-06,2023-05-11,Peaty,Drip,DAP,,Error,738609087,
Farmer 92,Kericho,Potatoes,Organic,Dry Season,19.43,670.65,11.5,149853.39,73970.75,75882.64,2023-08-05,2024-01-09,Error,None,None,Chemical,Mild,N/A,High yield
Farmer 93,Machakos,Potatoes,Local,Dry Season,16.1,4720.97,13.44,1021542.37,49150.16,972392.21,2023-08-13,2023-05-27,Peaty,Drip,DAP,Organic,None,795225343,High yield
Farmer 94,Eldoret,Wheat,Local,Short Rains,9.74,1218.09,189.31,2246011.06,30276.72,2215734.34,2023-06-10,2023-04-05,Peaty,Sprinkler,Manure,None,Severe,727778019,High yield
Farmer 95,Kericho,Error,Organic,Short Rains,6.59,3659.9,76.56,1846530.81,71720.75,1774810.06,2023-08-06,2023-11-30,Clay,None,None,Chemical,Severe,779008866,High yield
Farmer 96,Kisumu,Tea,Local,Short Rains,10.51,692.25,22.84,166173.5,76433.17,89740.33,2023-11-16,2023-10-27,Silty,Drip,Manure,None,,784593961,Pest issues
Farmer 97,Kiambu,Wheat,Organic,Short Rains,4.51,320.42,112.94,163208.94,21053.39,142155.55,2023-09-18,2023-10-15,Sandy,N/A,DAP,Chemical,None,768526649,
Farmer 98,Meru,Tea,Local,Dry Season,1.31,1821.95,199.78,476825.81,34821.35,442004.46,2023-12-21,2023-04-02,Clay,Sprinkler,Manure,None,Error,722517517,Error
Farmer 99,Kiambu,Beans,Local,Dry Season,0.68,1183.62,135.37,108954.11,97011.26,11942.85,N/A,2024-02-27,N/A,None,None,Chemical,None,745264581,N/A
Farmer 100,Nakuru,,Organic,Dry Season,Error,2646.41,171.06,,41699.69,,N/A,2023-11-06,Peaty,Drip,CAN,Organic,Severe,752091325,Delayed harvest
Farmer 101,Mombasa,Rice,Local,Long Rains,7.48,139.6,100.39,104828.04,45975.91,58852.13,2023-06-19,2023-10-10,Loam,Drip,DAP,None,Mild,787701200,Pest issues
Farmer 102,,Rice,Local,Long Rains,3.93,4066.49,81.86,1308229.68,6272.64,1301957.04,2023-07-18,2024-02-25,Sandy,None,CAN,Chemical,Mild,749823450,
Farmer 103,Machakos,Coffee,Hybrid,Long Rains,Error,2187.9,62.52,,N/A,,2023-06-27,2023-10-24,Peaty,Drip,None,Organic,None,747816686,Delayed harvest
Farmer 104,Meru,Cassava,Hybrid,Short Rains,1.09,2734.26,22.1,65865.59,67813.67,-1948.08,2023-12-04,2023-11-19,Error,N/A,Manure,Organic,Mild,738898923,Delayed harvest
Farmer 105,Machakos,Cassava,Organic,Dry Season,12.29,3712.72,127.37,5811807.61,63180.24,5748627.37,2023-09-16,2023-09-14,Loam,Drip,DAP,None,Mild,770597444,High yield
Farmer 106,N/A,Tea,Organic,Long Rains,0.85,3733.09,146.12,463657.24,10047.26,453609.98,2023-01-23,2023-05-26,Sandy,Sprinkler,None,Chemical,None,731682744,High yield
Farmer 107,Nairobi,Cassava,Organic,Dry Season,15.47,1727.03,13.35,356674.01,4752.76,351921.25,2023-08-16,2023-09-16,Sandy,Drip,Manure,Chemical,None,790388981,Delayed harvest
Farmer 108,Machakos,Coffee,Local,Short Rains,1.86,3636.2,125.78,850691.9,16127.07,834564.83,2023-09-04,2023-06-09,Loam,Sprinkler,Error,Chemical,Mild,782269803,High yield
Farmer 109,Nyeri,,Hybrid,Dry Season,14.33,3191.67,40.67,1860108.79,17416.54,1842692.25,2023-10-21,2023-09-24,Sandy,None,DAP,Chemical,,740885476,Pest issues
Farmer 110,Mombasa,Tea,Hybrid,Dry Season,8.47,N/A,124.57,,32207.16,,2023-01-02,2024-03-23,Loam,,CAN,Organic,Severe,745810056,High yield
Farmer 111,Nairobi,Sorghum,N/A,Dry Season,9.16,726.52,197.57,1314813.18,89853.58,1224959.6,2023-12-21,2023-07-24,Peaty,N/A,Manure,None,Mild,745264581,Pest issues
Farmer 112,,Potatoes,Organic,Dry Season,19.1,2549.18,167.27,8144265.57,38294.15,8105971.42,2023-07-20,2024-03-03,Loam,None,Manure,Chemical,Severe,796028436,Delayed harvest
Farmer 113,Meru,Tea,Organic,Short Rains,17.07,3429.28,55.76,3264068.26,66193.37,3197874.89,,2023-12-07,Peaty,None,DAP,Organic,Severe,745351479,
Farmer 114,Meru,Maize,Organic,Dry Season,11.9,2917.9,135.24,4695939.87,99682.92,4596256.95,2023-11-05,2024-01-28,Loam,None,N/A,None,Mild,752101056,High yield
Farmer 115,Mombasa,Wheat,Local,Dry Season,13.13,479.87,33.47,210884.2,35172.12,175712.08,2023-07-26,2023-06-05,Peaty,Sprinkler,None,Organic,Severe,748250360,
Farmer 116,Eldoret,Sorghum,Organic,Long Rains,4.96,4814.62,12.64,301849.71,96500.09,205349.62,2023-03-31,2023-06-08,Clay,None,DAP,None,Severe,713326769,Pest issues
Farmer 117,Kericho,Potatoes,Local,Dry Season,18.74,4574.23,30.65,2627350.8,14234.35,2613116.45,2023-09-08,2024-03-15,Sandy,None,Manure,Organic,None,743374088,Error
Farmer 118,Nakuru,Potatoes,Local,Long Rains,3.47,3094.39,68.22,732514.52,Error,,2023-04-19,2023-08-22,Clay,Flood,CAN,Organic,,722388090,Pest issues
Farmer 119,Nakuru,Potatoes,Local,Long Rains,7.99,1039.36,95.21,790670.15,51835.28,738834.87,2023-07-19,2023-08-18,Clay,Sprinkler,DAP,None,Severe,718526544,Delayed harvest
Farmer 120,Kericho,Tea,Organic,Short Rains,2.77,N/A,112.1,,58584.72,,2023-09-03,2023-07-02,Loam,None,UREA,Organic,None,723419256,
Farmer 121,Kisumu,Beans,Organic,Short Rains,12.26,4109.45,20.62,1038873.89,68757.33,970116.56,2023-02-26,2023-08-23,Peaty,Flood,DAP,None,Mild,773993471,High yield
Farmer 122,Kericho,Rice,Hybrid,Long Rains,3.4,724.93,130.95,322760.58,58209.77,264550.81,2023-01-31,2023-10-02,Loam,Sprinkler,None,Chemical,None,758966946,Delayed harvest
Farmer 123,Nairobi,Beans,Organic,Dry Season,17.47,,168.21,,10101.72,,2023-08-28,2024-02-29,Silty,Flood,UREA,Organic,Error,775579548,N/A
Farmer 124,Kiambu,Error,N/A,Short Rains,N/A,1723.46,82.6,,65767.79,,2023-07-04,2023-11-07,Error,None,None,Organic,Mild,723756669,Pest issues
Farmer 125,Kiambu,Cassava,Local,Long Rains,18.52,2260.06,127.92,5354259.33,85529.09,5268730.24,2023-07-23,2023-07-12,Clay,None,Manure,Chemical,,738119557,Pest issues
Farmer 126,Nyeri,Maize,Local,Long Rains,3.26,4518.04,179.82,2648534.69,33049.52,2615485.17,2023-12-12,2023-12-23,Silty,Sprinkler,None,,None,775181648,
Farmer 127,Nakuru,Coffee,Organic,Long Rains,8.5,1928.3,29.7,486799.33,23065.06,463734.27,2023-06-29,2023-11-24,Silty,N/A,None,None,Mild,713356886,High yield
Farmer 128,,Sorghum,Organic,Dry Season,12.52,2243.27,113.3,3182114.39,24732.47,3157381.92,2023-12-04,2023-05-13,Clay,Drip,None,Organic,None,764038913,Delayed harvest
Farmer 129,Eldoret,Beans,Error,Error,6.33,3108.62,62,1220009.01,47237.33,1172771.68,2023-10-28,2023-07-15,Silty,None,CAN,None,Mild,748285503,
Farmer 130,Nairobi,Rice,Local,Dry Season,8.87,1661.09,116.58,1717674.37,29218.65,1688455.72,2023-08-25,2023-10-24,Error,Drip,DAP,,Mild,711540956,Pest issues
Farmer 131,Meru,Cassava,Local,Long Rains,4.87,,33.99,,45231.19,,2023-06-01,2023-09-28,Loam,Sprinkler,DAP,Organic,Severe,767684996,High yield
Farmer 132,Machakos,Tomatoes,Local,Long Rains,13.28,1461.41,77.34,1500977.97,42836.25,1458141.72,2023-04-23,2023-04-19,Loam,,None,Chemical,None,715614174,Pest issues
Farmer 133,Mombasa,Sorghum,Organic,Dry Season,3.82,3010.63,175.91,2023071.71,2342.54,2020729.17,2023-11-02,2023-08-17,Clay,None,UREA,Organic,Severe,740728046,
Farmer 134,Kisumu,Rice,Organic,Long Rains,6.96,4643.44,64.77,2093259.04,14634.16,2078624.88,2023-04-11,2023-05-12,Clay,Flood,Manure,Organic,Mild,795899313,Pest issues
Farmer 135,Mombasa,Coffee,Local,Long Rains,15.76,2110.27,137.32,4566968.68,33799.45,4533169.23,2023-01-28,2023-12-21,Silty,Sprinkler,CAN,Organic,Severe,719335534,Delayed harvest
Farmer 136,Kiambu,Coffee,Local,Error,13.79,816.61,192.23,2164712.01,,,2023-09-15,2024-03-27,Peaty,Error,None,None,None,777834855,High yield
Farmer 137,Error,Cassava,Hybrid,Dry Season,10.75,4594.61,170.89,8440608.71,23324.16,8417284.55,2023-04-09,2023-04-13,Clay,Sprinkler,CAN,None,None,793370583,
Farmer 138,Machakos,Cassava,Local,Dry Season,2.47,4843.76,142.53,1705241.35,49861.96,1655379.39,2023-12-26,2023-04-19,Clay,Drip,Manure,Chemical,None,Error,Pest issues
Farmer 139,Kericho,Coffee,,,14.06,149.24,146.77,307969.6,66100.7,241868.9,2023-06-04,2024-01-08,Loam,Flood,None,Organic,Mild,741568532,
Farmer 140,Mombasa,Tomatoes,Organic,Short Rains,9.35,1199.8,19.93,223577.33,39422.95,184154.38,2023-10-21,2023-12-22,Silty,Sprinkler,DAP,None,None,722388090,Pest issues
Farmer 141,Nairobi,Sorghum,Local,Dry Season,1.22,4700.29,134.64,772073.4,72113.61,699959.79,2023-02-09,2023-09-14,Silty,N/A,UREA,Error,Mild,798588154,High yield
Farmer 142,Kericho,Tea,Local,Dry Season,Error,3836.8,93.79,,8889.32,,2023-08-18,2023-07-27,Loam,Sprinkler,Manure,None,Mild,758718453,
Farmer 143,Meru,Potatoes,Hybrid,Long Rains,5.64,4141.11,18.6,434419,59366.26,375052.74,2023-10-29,2023-05-20,Silty,None,Manure,Organic,None,728024248,Delayed harvest
Farmer 144,Kericho,Potatoes,Local,Short Rains,5.02,226.31,33.97,38592.51,51198.96,-12606.45,2023-02-07,2023-09-09,Clay,Flood,None,None,Error,716323852,High yield
Farmer 145,Machakos,Rice,Local,Dry Season,10.19,982.32,113.25,1133614.47,70777.06,1062837.41,2023-01-15,2023-12-16,Silty,N/A,CAN,Chemical,Mild,781016525,Delayed harvest
Farmer 146,Nairobi,Beans,Hybrid,Dry Season,15.72,2038.08,16.85,539850.71,87785.54,452065.17,2023-08-01,Error,Peaty,Drip,Manure,None,Mild,784252420,N/A
